Season,Position,Position Group,School,Conference,Height (inches),Weight(lbs),Hand (inches),Arm (inches),Wingspan (inches),40-Yard Dash (seconds),Vertical (inches),Bench (reps),Broad Jump (inches),3-Cone (seconds),Shuttle (seconds),Combine Participation,ELO,FPI,Efficiencies Overall,Efficiencies Offense,Efficiencies Defense,Efficiencies SpecialTeams,CFP Appearance,National Award,Actual Draft Tier,Actual Target,Predicted Probability,Cumulative Actual Captured,Percent of Players Reviewed,Percent of Actual Tier Captured
2025,WR,Skill,Texas,SEC,71.0,191,9.5,30.5,76.375,4.29,27.78,11,115.1,6.65,4.03,1,2042,26.107,88.25,73.85,92.32,35.538,0,0,Round 1,0,0.5733059555575899,8,6.6115702479338845,12.121212121212121
2023,IOL,OL,Old Dominion,Sun Belt,78.25,318,10.25,33.25,81.25,5.21,31.0,20,111.0,7.57,4.69,1,1314,-10.538,30.819,27.542,38.624,55.322,0,0,Rounds 4-5,0,0.5453668556615805,8,7.024793388429752,12.121212121212121
2024,IOL,OL,Arkansas,SEC,77.25,304,9.5,32.75,77.875,5.31,29.0,26,110.0,7.57,4.47,1,1431,2.225,47.846,34.458,61.741,53.372,0,0,Undrafted,1,0.5433963125896754,9,7.43801652892562,13.636363636363635
2023,RB,Skill,USC,Pac-12,70.0,201,9.25,27.125,70.25,4.46,35.5,20,122.0,7.16,4.61,0,1745,13.164,77.414,90.693,44.38,43.862,0,0,Undrafted,1,0.534884322872311,10,7.851239669421488,15.151515151515152
2024,P,Special Teams,BYU,Big 12,76.375,235,8.875,31.25,76.375,4.63,35.5,19,123.0,7.05,4.31,0,1364,-1.805,52.478,36.286,62.31,60.603,0,0,Undrafted,1,0.532089060482007,11,8.264462809917356,16.666666666666664
2024,C,OL,Oklahoma,Big 12,76.0,314,10.0,32.5,78.75,5.42,24.5,24,95.0,7.41,4.33,1,1930,22.492,84.142,84.36,76.697,33.868,0,0,Undrafted,1,0.5297459582031572,12,8.677685950413224,18.181818181818183
2024,K,Special Teams,Arkansas,SEC,73.0,172,9.25,30.5,73.625,4.29,39.0,13,130.0,6.69,4.06,0,1431,2.225,47.846,34.458,61.741,53.372,0,0,Rounds 6-7,0,0.5198725760383511,12,9.090909090909092,18.181818181818183
2025,OT,OL,Boston College,ACC,80.125,316,10.375,33.0,81.0,5.21,24.5,22,106.0,7.71,4.7,1,1513,4.829,61.35,56.657,64.403,40.228,0,0,Rounds 2-3,0,0.505078517221572,12,9.50413223140496,18.181818181818183
2023,RB,Skill,Kentucky,SEC,72.0,217,8.625,30.625,73.625,4.55,34.5,20,122.0,6.92,4.4,0,1606,5.824,59.284,46.761,72.541,34.773,0,0,Rounds 6-7,0,0.5003304574275917,12,9.917355371900827,18.181818181818183
2025,WR,Skill,Texas Tech,Big 12,72.625,186,10.5,30.75,76.625,4.7,33.0,14,121.0,7.02,4.97,1,1607,6.204,57.272,59.502,48.684,59.274,1,0,Undrafted,1,0.49804563537171465,13,10.330578512396695,19.696969696969695
2025,WR,Skill,Virginia Tech,ACC,76.25,213,9.0,32.25,79.125,4.5,32.5,18,122.0,7.1,4.3,1,1647,8.853,70.514,55.299,74.421,59.153,0,0,Undrafted,1,0.4812748750256759,14,10.743801652892563,21.21212121212121
2024,C,OL,Duke,ACC,77.375,313,9.375,32.875,79.75,5.2,31.0,27,105.0,7.41,4.24,0,1654,8.778,68.7,63.774,63.667,60.347,0,0,Round 1,0,0.47872805517802375,14,11.15702479338843,21.21212121212121
2025,TE,Skill,LSU,SEC,77.125,251,10.0,33.25,78.75,4.28,24.5,33,110.7,6.65,4.97,0,1827,13.515,71.849,75.763,61.497,39.011,0,0,Rounds 2-3,0,0.4728842144503982,14,11.570247933884298,21.21212121212121
2023,TE,Skill,Cincinnati,AAC,78.5,248,9.5,31.5,77.375,4.69,33.5,21,115.0,7.42,4.29,1,1690,6.451,60.989,44.607,64.989,69.829,0,0,Rounds 4-5,0,0.4677206326534509,14,11.983471074380166,21.21212121212121
2023,TE,Skill,Wake Forest,ACC,75.75,247,8.75,32.125,79.375,4.7,35.5,20,115.0,7.42,4.3,1,1663,7.586,64.28,73.512,49.277,46.02,0,0,Undrafted,1,0.4628381859697035,15,12.396694214876034,22.727272727272727
2023,DL,DL,Florida,SEC,77.625,310,9.5,32.25,80.875,4.88,31.0,22,110.0,7.5,4.73,1,1581,7.555,60.994,69.396,49.078,49.533,0,0,Rounds 2-3,0,0.4607195689673689,15,12.8099173553719,22.727272727272727
2023,RB,Skill,Georgia,SEC,72.25,204,9.0,30.5,76.375,4.62,35.5,20,122.0,7.11,4.57,1,2300,29.908,93.511,90.791,87.647,45.406,0,0,Rounds 6-7,0,0.4551476621921915,15,13.223140495867769,22.727272727272727
2023,IOL,OL,Duluth/University of Minnesota,NSIC,76.0,304,9.75,32.375,78.75,5.2,29.0,20,109.0,7.77,4.75,0,1819,14.599,74.563,74.162,65.921,50.606,0,0,Undrafted,1,0.4499007747767243,16,13.636363636363635,24.242424242424242
2023,WR,Skill,Iowa St.,Big 12,73.875,203,9.375,31.375,74.875,4.53,36.0,17,116.0,6.91,4.35,1,1554,6.28,57.494,40.857,78.383,33.853,0,0,Rounds 6-7,0,0.43434159027697916,16,14.049586776859504,24.242424242424242
2024,IOL,OL,Utah,Pac-12,76.5,321,10.0,32.5,79.5,5.38,29.5,27,101.0,7.95,4.9,1,1684,10.768,65.114,50.684,74.826,48.257,0,0,Undrafted,1,0.4260638096348719,17,14.46280991735537,25.757575757575758
2024,DL,DL,Auburn,SEC,74.375,286,9.625,32.0,78.25,5.06,29.5,27,103.0,6.81,4.6,1,1585,8.916,67.536,49.076,72.965,65.063,0,0,Rounds 6-7,0,0.41989707226402584,17,14.87603305785124,25.757575757575758
2024,RB,Skill,Georgia,SEC,69.625,207,9.5,29.75,73.0,4.56,32.5,22,114.0,6.95,4.24,1,2273,24.777,87.417,88.149,74.455,48.128,1,0,Undrafted,1,0.41343904445799406,18,15.289256198347106,27.27272727272727
2023,RB,Skill,Auburn,SEC,71.625,210,9.5,32.0,76.625,4.56,32.5,20,119.0,7.23,4.68,1,1596,6.205,55.022,47.067,62.103,45.36,0,0,Rounds 2-3,0,0.41140380482664995,18,15.702479338842975,27.27272727272727
2023,IOL,OL,USC,Pac-12,78.0,310,10.0,32.125,77.75,5.22,29.0,20,105.0,7.9,4.79,1,1745,13.164,77.414,90.693,44.38,43.862,0,0,Rounds 6-7,0,0.40987842727819856,18,16.115702479338843,27.27272727272727
2025,WR,Skill,Ole Miss,SEC,71.25,196,9.125,29.375,72.5,4.37,36.5,14,119.0,6.65,4.36,1,2007,20.608,84.235,76.596,81.866,47.73,1,0,Rounds 4-5,0,0.4095627807830763,18,16.528925619834713,27.27272727272727
2025,CB,Secondary,Iowa State,Big 12,74.875,195,9.0,31.125,80.0,4.3,36.5,11,131.0,6.71,4.04,1,1675,10.15,66.812,63.385,63.427,52.51,0,0,Rounds 2-3,0,0.40902773204162124,18,16.94214876033058,27.27272727272727
2023,RB,Skill,Appalachian St.,Sun Belt,73.375,217,9.75,32.625,78.625,4.61,37.0,20,121.0,6.85,4.33,1,1593,0.411,45.95,62.053,35.887,34.024,0,0,Undrafted,1,0.4071155210073981,19,17.355371900826448,28.78787878787879
2025,WR,Skill,Tennessee,SEC,76.625,205,9.5,32.125,79.0,4.3,33.0,20,126.0,7.05,4.03,1,1915,20.786,83.706,67.16,87.119,52.677,0,0,Rounds 4-5,0,0.40599905417004567,19,17.768595041322314,28.78787878787879
2025,CB,Secondary,California,ACC,70.75,189,8.75,29.625,75.0,4.45,37.75,11,122.3,6.65,4.97,1,1529,4.302,57.687,45.477,64.264,58.117,0,0,Rounds 6-7,0,0.40504305629721793,19,18.181818181818183,28.78787878787879
2025,DL,DL,Arkansas,SEC,75.25,319,9.5,33.0,81.25,5.14,27.0,28,108.0,7.68,4.97,1,1611,8.19,65.787,60.714,66.155,45.94,0,0,Undrafted,1,0.40354281145055737,20,18.59504132231405,30.303030303030305
2023,CB,Secondary,Coastal Carolina,Sun Belt,74.0,200,9.75,32.375,78.125,4.48,37.0,13,124.0,6.83,4.3,1,1344,-6.531,40.095,54.955,32.539,40.387,0,0,Undrafted,1,0.40339538695499233,21,19.00826446280992,31.818181818181817
2023,C,OL,Minnesota,Big Ten,75.5,301,9.5,32.625,78.375,5.35,29.5,20,104.0,7.68,4.56,1,1758,11.422,72.43,66.077,73.504,40.834,0,0,Rounds 2-3,0,0.3960118335653027,21,19.421487603305785,31.818181818181817
2023,IOL,OL,Washington,Pac-12,77.75,306,10.75,34.0,81.125,5.5,28.0,20,101.0,8.34,4.97,1,1760,11.472,73.944,84.016,49.984,45.242,1,0,Undrafted,1,0.38612341842729336,22,19.834710743801654,33.33333333333333
2024,WR,Skill,Mississippi St.,SEC,70.0,181,9.125,30.625,72.75,4.43,35.5,14,124.0,7.0,4.35,1,1421,0.859,45.573,31.326,62.302,47.192,0,0,Undrafted,1,0.3795528576091671,23,20.24793388429752,34.84848484848485
2023,EDGE,DL,Florida,SEC,75.875,250,9.25,33.125,80.75,4.82,33.0,24,115.0,7.22,4.44,1,1581,7.555,60.994,69.396,49.078,49.533,0,0,Undrafted,1,0.3764080574338521,24,20.66115702479339,36.36363636363637
2025,S,Secondary,Texas,SEC,71.25,186,9.0,30.0,75.375,4.45,40.36,17,121.4,6.65,4.03,1,2042,26.107,88.25,73.85,92.32,35.538,0,0,Rounds 2-3,0,0.375389993740186,24,21.074380165289256,36.36363636363637
2023,IOL,OL,Tennessee-Chattanooga,SoCon,78.0,324,10.25,35.0,83.875,5.24,26.5,20,105.0,7.7,4.97,1,1738,11.336,69.68,68.952,64.29,44.371,0,0,Undrafted,1,0.3728653725894693,25,21.487603305785125,37.878787878787875
2025,WR,Skill,Notre Dame,FBS Independent,75.0,201,9.5,31.5,79.5,4.49,38.37,19,123.0,7.02,4.42,0,2154,25.305,88.314,78.053,88.226,42.499,0,0,Undrafted,1,0.37233375973159366,26,21.90082644628099,39.39393939393939
2024,CB,Secondary,South Dakota,MVFC,70.875,195,9.375,29.875,74.0,4.5,35.5,13,118.0,6.88,3.98,1,1729,10.639,66.998,59.904,66.911,53.148,0,0,Rounds 6-7,0,0.37223068425398975,26,22.31404958677686,39.39393939393939
2024,C,OL,Duke,ACC,75.0,308,10.0,32.375,79.0,5.09,29.5,28,108.0,7.41,4.01,1,1654,8.778,68.7,63.774,63.667,60.347,0,0,Rounds 6-7,0,0.37117307954766676,26,22.727272727272727,39.39393939393939
2023,WR,Skill,Florida,SEC,76.0,229,10.0,33.75,83.375,4.55,35.5,18,126.0,6.97,4.29,1,1581,7.555,60.994,69.396,49.078,49.533,0,0,Rounds 4-5,0,0.36932010788643044,26,23.140495867768596,39.39393939393939
2023,RB,Skill,Tulsa,AAC,71.75,216,9.25,31.25,75.0,4.41,35.5,20,124.0,6.83,4.31,1,1378,-4.107,43.074,50.493,42.491,37.352,0,0,Undrafted,1,0.36698594825981057,27,23.553719008264462,40.909090909090914
2024,CB,Secondary,Missouri,SEC,71.375,179,8.625,31.0,74.625,4.44,33.5,15,123.0,6.94,4.58,1,1866,15.277,78.168,79.322,67.958,47.09,0,0,Rounds 4-5,0,0.36691323051137437,27,23.96694214876033,40.909090909090914
2025,IOL,OL,Georgia,SEC,78.5,308,10.375,32.25,79.25,4.97,32.0,11,113.0,7.38,4.03,1,1998,22.091,82.861,79.935,73.308,59.572,1,0,Rounds 2-3,0,0.36592950252815937,27,24.380165289256198,40.909090909090914
2024,C,OL,Michigan St.,Big Ten,76.0,307,9.75,32.75,79.0,5.17,31.5,27,107.0,7.41,4.29,0,1338,-3.512,38.745,32.821,44.666,62.478,0,0,Rounds 6-7,0,0.3649037429541344,27,24.793388429752067,40.909090909090914
2024,S,Secondary,Miami,ACC,76.25,231,9.5,33.625,80.25,4.65,30.0,17,117.0,6.69,3.5,1,1580,11.169,68.436,66.666,63.176,51.762,0,0,Rounds 6-7,0,0.36324144835192107,27,25.206611570247933,40.909090909090914
2023,OT,OL,Boise St.,Mountain West,77.75,309,10.75,34.0,83.625,5.24,28.5,20,104.0,7.52,4.52,1,1712,3.797,52.954,41.976,64.425,46.27,0,0,Undrafted,1,0.36280156891858517,28,25.6198347107438,42.42424242424242
2024,RB,Skill,Louisville,ACC,69.5,193,8.5,30.125,71.0,4.56,34.5,22,121.0,6.65,4.22,1,1688,11.36,72.759,63.856,75.697,45.123,0,0,Rounds 6-7,0,0.36116307497421196,28,26.033057851239672,42.42424242424242
2025,CB,Secondary,Nebraska,Big Ten,72.5,213,9.0,32.75,79.5,4.38,30.44,11,116.6,8.12,4.97,0,1537,6.154,64.984,58.011,69.664,41.381,0,0,Undrafted,1,0.35982216418282953,29,26.446280991735538,43.93939393939394
2023,LB,LB,TCU,Big 12,71.0,227,8.625,31.625,75.0,4.49,30.5,20,117.0,7.44,4.42,1,1729,14.378,80.5,80.39,69.518,54.974,0,0,Rounds 6-7,0,0.3570734960366473,29,26.859504132231404,43.93939393939394
2025,DL,DL,Maryland,Big Ten,75.75,306,10.0,33.5,82.625,5.09,28.0,11,103.0,8.19,4.03,1,1407,-0.535,43.23,46.603,47.026,35.755,0,0,Rounds 6-7,0,0.35622504803983035,29,27.27272727272727,43.93939393939394
2025,DL,DL,Utah,Big 12,75.5,308,10.5,32.5,78.75,5.03,28.5,24,93.0,8.19,4.03,1,1563,5.029,60.487,30.282,79.81,59.786,0,0,Undrafted,1,0.35087484171364314,30,27.685950413223143,45.45454545454545
2024,CB,Secondary,Mississippi,SEC,72.0,183,8.5,30.75,73.75,4.38,34.5,15,125.0,6.94,4.55,1,1737,15.302,75.391,76.693,64.536,49.591,0,0,Rounds 4-5,0,0.35079782246503,30,28.09917355371901,45.45454545454545
2023,C,OL,Arkansas,SEC,75.0,306,9.75,33.25,79.625,5.26,32.5,20,111.0,7.52,4.43,1,1686,6.93,62.299,69.2,48.112,56.255,0,0,Rounds 4-5,0,0.34622954647337756,30,28.512396694214875,45.45454545454545
2024,RB,Skill,Clemson,ACC,71.0,206,9.625,30.25,74.125,4.51,35.0,22,122.0,6.82,4.23,0,1764,13.892,72.489,48.101,90.04,37.087,1,0,Rounds 4-5,0,0.3451243596853176,30,28.92561983471074,45.45454545454545
2025,RB,Skill,South Carolina,SEC,72.0,217,9.25,31.5,76.25,4.46,36.5,33,117.1,7.28,4.03,1,1810,14.834,76.206,60.762,80.864,51.02,0,0,Undrafted,1,0.3420037678015405,31,29.338842975206614,46.96969696969697
2024,IOL,OL,Maryland,Big Ten,76.125,308,9.875,33.0,80.625,5.01,26.5,28,112.0,7.64,4.61,1,1695,8.085,66.299,64.78,61.709,49.654,0,0,Undrafted,1,0.34027311676795424,32,29.75206611570248,48.484848484848484
2023,WR,Skill,East Carolina,AAC,73.5,224,10.25,32.0,78.5,4.56,36.0,20,125.0,6.96,4.29,0,1509,1.775,54.675,70.734,39.058,37.309,0,0,Undrafted,1,0.33893963237996405,33,30.165289256198346,50.0
2025,IOL,OL,Iowa,Big Ten,77.75,309,10.0,32.0,77.125,5.45,28.5,33,110.0,7.78,4.63,1,1774,11.144,70.238,48.063,74.759,71.573,0,0,Rounds 6-7,0,0.3363230131751207,33,30.57851239669421,50.0
2025,WR,Skill,Georgia,SEC,72.125,179,9.0,31.25,77.0,4.36,38.0,20,127.0,6.82,4.19,1,1998,22.091,82.861,79.935,73.308,59.572,1,0,Rounds 4-5,0,0.33330262654404996,33,30.991735537190085,50.0
2023,QB,Skill,UCLA,Pac-12,73.625,203,9.875,30.625,74.75,4.56,32.5,20,121.0,7.28,4.44,1,1684,8.553,65.594,81.525,44.786,34.94,0,0,Rounds 4-5,0,0.3332962408191188,33,31.40495867768595,50.0
2025,TE,Skill,Notre Dame,FBS Independent,77.375,241,9.5,32.0,77.0,4.74,31.0,33,115.0,7.25,4.4,1,2154,25.305,88.314,78.053,88.226,42.499,0,0,Rounds 6-7,0,0.3292641667750884,33,31.818181818181817,50.0
2023,RB,Skill,East Carolina,AAC,67.875,179,9.25,30.75,74.75,4.37,38.0,20,126.0,7.33,4.77,1,1509,1.775,54.675,70.734,39.058,37.309,0,0,Undrafted,1,0.32291553311685794,34,32.231404958677686,51.515151515151516
2023,WR,Skill,Cincinnati,AAC,68.625,182,8.625,28.875,70.375,4.4,37.5,14,124.0,6.92,4.29,1,1690,6.451,60.989,44.607,64.989,69.829,0,0,Rounds 4-5,0,0.3164395116693328,34,32.64462809917356,51.515151515151516
2025,CB,Secondary,Villanova,CAA,73.25,209,9.5,31.625,78.125,4.56,32.92,11,124.0,6.65,4.97,1,1715,10.737,66.313,60.06,66.447,50.291,0,0,Undrafted,1,0.3159292528378076,35,33.057851239669425,53.03030303030303
2025,TE,Skill,Utah,Big 12,74.0,236,10.5,31.5,76.75,5.45,43.0,11,113.3,8.19,4.03,0,1563,5.029,60.487,30.282,79.81,59.786,0,0,Undrafted,1,0.3147223773896952,36,33.47107438016529,54.54545454545454
2025,RB,Skill,Arizona State,Big 12,69.5,219,9.375,29.75,73.875,4.65,39.5,17,123.0,7.37,4.97,1,1801,11.793,78.233,79.692,66.688,47.348,0,0,Rounds 4-5,0,0.312751339129137,36,33.88429752066116,54.54545454545454
2023,CB,Secondary,Notre Dame,FBS Independent,72.375,202,9.0,30.875,74.75,4.62,30.5,17,118.0,7.08,4.23,1,1850,12.6,69.601,59.985,66.897,66.833,0,0,Undrafted,1,0.31013846385386223,37,34.29752066115703,56.060606060606055
2025,WR,Skill,Georgia,SEC,70.0,185,9.25,31.375,75.625,4.4,33.5,11,120.0,6.9,4.03,1,1998,22.091,82.861,79.935,73.308,59.572,1,0,Rounds 6-7,0,0.3100005855948519,37,34.710743801652896,56.060606060606055
2025,S,Secondary,Nevada,Mountain West,70.625,202,9.5,31.0,75.25,4.41,41.5,18,128.0,6.65,4.14,1,1192,-8.417,32.498,47.2,30.419,32.833,0,0,Rounds 6-7,0,0.3081100447517955,37,35.12396694214876,56.060606060606055
2025,WR,Skill,Colorado,Big 12,68.125,174,8.625,30.375,74.5,4.46,38.0,27,128.0,6.65,4.41,1,1701,12.691,74.938,72.644,69.84,45.06,0,0,Rounds 6-7,0,0.30732434940950804,37,35.53719008264463,56.060606060606055
2025,LB,LB,Indiana,Big Ten,72.625,218,9.534,31.626,79.875,4.38,35.0,11,127.0,7.24,4.03,1,1951,18.73,83.71,85.132,72.021,40.91,1,0,Undrafted,1,0.3059537810344036,38,35.9504132231405,57.57575757575758
2023,RB,Skill,Northwestern,Big Ten,70.125,209,9.25,30.625,74.375,4.47,37.0,20,123.0,6.9,4.38,1,1257,-7.588,30.34,26.742,42.636,51.301,0,0,Rounds 6-7,0,0.30569672593601505,38,36.36363636363637,57.57575757575758
2023,C,OL,Penn St.,Big Ten,75.25,301,10.25,33.25,81.75,5.22,32.0,20,102.0,7.75,4.82,1,2000,19.477,82.964,71.335,83.462,50.595,0,0,Rounds 2-3,0,0.3017272309078868,38,36.77685950413223,57.57575757575758
2025,TE,Skill,Texas,SEC,77.0,241,9.75,32.625,79.5,4.84,30.0,33,129.3,7.15,4.4,1,2042,26.107,88.25,73.85,92.32,35.538,0,0,Rounds 4-5,0,0.29956068751004583,38,37.1900826446281,57.57575757575758
2023,RB,Skill,TCU,Big 12,71.0,215,9.375,32.375,78.5,4.54,34.5,20,121.0,6.96,4.43,0,1729,14.378,80.5,80.39,69.518,54.974,0,0,Rounds 2-3,0,0.2991297445387283,38,37.60330578512397,57.57575757575758
2023,RB,Skill,Utah,Pac-12,72.375,237,9.25,31.125,76.0,4.74,30.0,20,118.0,6.84,4.32,1,1915,19.146,79.905,74.866,74.068,53.378,0,0,Undrafted,1,0.29593235094783077,39,38.01652892561984,59.09090909090909
2023,OT,OL,Florida,SEC,77.0,306,10.0,34.0,81.125,5.15,30.0,20,108.0,7.6,4.69,0,1581,7.555,60.994,69.396,49.078,49.533,0,0,Undrafted,1,0.29194359385454083,40,38.429752066115704,60.60606060606061
2025,WR,Skill,Stanford,ACC,73.75,206,10.0,32.375,78.375,4.44,38.5,33,127.0,6.7,4.31,1,1175,-5.299,38.36,36.975,39.874,65.408,0,0,Rounds 4-5,0,0.29057668035059914,40,38.84297520661157,60.60606060606061
2023,K,Special Teams,Michigan,Big Ten,73.0,209,9.5,30.875,75.875,4.58,34.0,20,121.0,7.27,4.44,0,2124,23.62,85.085,79.485,79.2,57.128,1,0,Rounds 4-5,0,0.28682551930495404,40,39.25619834710744,60.60606060606061
2025,RB,Skill,North Carolina,ACC,71.75,221,9.375,30.5,74.75,4.46,38.0,18,130.0,6.75,4.4,1,1496,2.602,50.555,55.402,46.067,47.749,0,0,Round 1,0,0.286667387319985,40,39.66942148760331,60.60606060606061
2025,CB,Secondary,UCF,Big 12,70.25,191,8.375,29.75,72.625,4.41,43.0,15,123.2,6.9,4.03,1,1557,5.283,53.294,60.369,50.721,32.002,0,0,Rounds 4-5,0,0.28649695958200605,40,40.082644628099175,60.60606060606061
2025,CB,Secondary,Ohio State,Big Ten,72.125,195,8.5,30.625,76.125,4.42,29.5,24,121.7,6.65,4.03,0,2211,24.823,87.333,80.443,83.601,49.523,1,0,Rounds 6-7,0,0.28570332607041415,40,40.49586776859504,60.60606060606061
2025,WR,Skill,TCU,Big 12,73.25,214,9.0,31.5,75.0,4.52,34.5,19,125.0,6.84,4.21,1,1700,8.023,67.255,69.28,58.063,52.483,0,0,Rounds 2-3,0,0.2827797010454328,40,40.909090909090914,60.60606060606061
2023,TE,Skill,Oklahoma,Big 12,75.5,241,9.75,33.25,79.125,4.68,32.0,20,117.0,7.3,4.36,1,1662,9.969,66.271,71.907,54.872,48.16,0,0,Rounds 6-7,0,0.28247675650644366,40,41.32231404958678,60.60606060606061
2024,RB,Skill,TCU,Big 12,67.375,202,9.75,29.875,70.75,4.61,33.5,22,116.0,6.87,4.23,1,1631,9.511,59.244,64.411,51.426,45.245,0,0,Undrafted,1,0.2824635817332197,41,41.735537190082646,62.121212121212125
2025,WR,Skill,Oregon,Big Ten,74.125,205,9.75,31.5,78.5,4.57,32.0,12,123.0,7.04,4.54,1,2040,21.125,85.854,85.403,73.779,53.859,1,0,Undrafted,1,0.2820249930473673,42,42.14876033057851,63.63636363636363
2024,TE,Skill,Colorado St.,Mountain West,75.375,241,10.25,33.625,78.125,4.78,32.5,28,122.0,6.83,4.21,1,1276,-11.774,30.563,28.491,37.664,56.051,0,0,Undrafted,1,0.28043630510525464,43,42.561983471074385,65.15151515151516
2025,TE,Skill,Iowa,Big Ten,77.75,251,10.0,32.125,78.375,5.42,35.0,11,120.0,7.18,4.47,1,1774,11.144,70.238,48.063,74.759,71.573,0,0,Rounds 6-7,0,0.2766957226557387,43,42.97520661157025,65.15151515151516
2023,WR,Skill,Purdue,Big Ten,71.375,175,9.0,31.625,74.0,4.43,36.5,13,124.0,6.91,4.29,1,1460,4.283,58.947,63.872,51.004,46.438,0,0,Rounds 4-5,0,0.2741430324508166,43,43.388429752066116,65.15151515151516
2025,DL,DL,Texas,SEC,77.625,332,10.0,34.5,85.0,4.28,26.0,11,96.0,6.65,4.97,1,2042,26.107,88.25,73.85,92.32,35.538,0,0,Rounds 2-3,0,0.2722441375620295,43,43.80165289256198,65.15151515151516
2023,LB,LB,Texas,Big 12,74.625,229,9.5,32.25,78.125,4.56,34.0,15,124.0,6.62,4.33,1,1900,19.379,79.1,73.758,70.57,66.449,1,0,Rounds 2-3,0,0.2713169817249532,43,44.214876033057855,65.15151515151516
