Season,Position,Position Group,School,Conference,Height (inches),Weight(lbs),Hand (inches),Arm (inches),Wingspan (inches),40-Yard Dash (seconds),Vertical (inches),Bench (reps),Broad Jump (inches),3-Cone (seconds),Shuttle (seconds),Combine Participation,ELO,FPI,Efficiencies Overall,Efficiencies Offense,Efficiencies Defense,Efficiencies SpecialTeams,Log Rank,CFP Appearance,National Award,Actual Draft Round,Actual Target,Predicted Probability,Cumulative Actual Captured,Percent of Players Reviewed,Percent of Actual Round Captured
2023,DL,DL,Florida,SEC,77.625,310,9.5,32.25,80.875,4.88,31.0,22,110.0,7.5,4.73,1,1581,7.555,60.994,69.396,49.078,49.533,5.3279,0,0,Round 2,1,0.18738133886861627,13,7.851239669421488,54.166666666666664
2024,CB,Secondary,Florida St.,ACC,71.875,190,8.625,30.0,73.25,4.38,39.5,15,129.0,6.94,4.24,1,1789,19.915,83.68,70.051,84.429,58.266,5.0938,0,0,Round 3,0,0.18709775645219748,13,8.264462809917356,54.166666666666664
2023,EDGE,DL,LSU,SEC,74.0,248,10.5,34.25,81.875,4.59,32.5,23,126.0,7.2,4.45,1,1871,17.436,78.295,78.649,74.431,26.438,5.3845,0,0,Round 2,1,0.18698621236260163,14,8.677685950413224,58.333333333333336
2023,CB,Secondary,Oregon,Pac-12,73.375,197,9.5,32.0,76.875,4.38,41.5,14,133.0,6.89,4.26,1,1724,14.225,78.17,81.614,63.631,42.699,5.4889,0,1,Round 1,0,0.18410804525123187,14,9.090909090909092,58.333333333333336
2024,EDGE,DL,Missouri,SEC,77.125,285,10.625,34.5,84.375,4.95,35.0,21,111.0,7.44,4.84,1,1866,15.277,78.168,79.322,67.958,47.09,5.4467,0,0,Round 1,0,0.18321658704976612,14,9.50413223140496,58.333333333333336
2023,CB,Secondary,Illinois,Big Ten,69.75,211,10.25,31.5,76.0,4.47,40.5,23,130.0,6.68,4.07,1,1749,9.857,68.781,50.92,80.746,45.222,5.2627,0,0,Round 3,0,0.18182006064328496,14,9.917355371900827,58.333333333333336
2025,WR,Skill,Arizona,Big 12,76.125,219,10.0,31.5,77.875,4.68,32.15,15,121.5,6.94,4.19,0,1307,-3.385,38.477,43.057,38.791,48.852,5.5255,0,1,Round 1,0,0.1813227138535197,14,10.330578512396695,58.333333333333336
2023,C,OL,Notre Dame,FBS Independent,77.125,306,10.0,31.375,77.0,5.33,29.5,20,106.0,7.96,4.73,1,1850,12.6,69.601,59.985,66.897,66.833,4.0604,0,0,Round 6,0,0.18087604424629344,14,10.743801652892563,58.333333333333336
2025,IOL,OL,Ohio State,Big Ten,75.625,315,9.75,33.5,83.75,4.28,24.5,11,102.1,6.65,4.03,0,2211,24.823,87.333,80.443,83.601,49.523,5.4596,1,1,Round 1,0,0.18013683499710012,14,11.15702479338843,58.333333333333336
2025,WR,Skill,Ohio State,Big Ten,72.875,202,9.5,31.5,76.625,4.54,37.82,11,125.3,7.41,4.55,0,2211,24.823,87.333,80.443,83.601,49.523,5.4806,1,1,Round 1,0,0.1762925315812166,14,11.570247933884298,58.333333333333336
2024,WR,Skill,Texas,Big 12,73.25,205,9.0,32.375,77.625,4.34,39.5,19,136.0,6.84,4.11,1,2025,23.196,86.583,76.615,83.977,60.972,5.3327,1,0,Round 2,1,0.1704215070196742,15,11.983471074380166,62.5
2024,C,OL,Duke,ACC,77.375,313,9.375,32.875,79.75,5.2,31.0,27,105.0,7.41,4.24,0,1654,8.778,68.7,63.774,63.667,60.347,5.451,0,0,Round 1,0,0.16989741314730392,15,12.396694214876034,62.5
2023,EDGE,DL,Clemson,ACC,77.0,268,8.5,33.75,81.25,4.62,32.0,25,117.0,7.36,4.44,1,1843,17.553,74.958,64.744,77.07,48.641,5.4424,0,1,Round 1,0,0.16948125559438226,15,12.8099173553719,62.5
2025,QB,Skill,Miami,ACC,73.625,219,9.0,30.5,75.75,4.28,43.0,22,138.0,8.19,4.97,0,1855,17.338,77.097,87.084,52.889,41.286,5.553,1,1,Round 1,0,0.1677972021256313,15,13.223140495867769,62.5
2025,LB,LB,South Carolina,SEC,73.625,235,10.0,32.5,80.5,4.58,31.5,22,118.0,7.12,4.25,1,1810,14.834,76.206,60.762,80.864,51.02,5.3471,0,0,Round 2,1,0.16633560942149173,16,13.636363636363635,66.66666666666666
2025,WR,Skill,Texas,SEC,71.0,191,9.5,30.5,76.375,4.29,27.78,11,115.1,6.65,4.03,1,2042,26.107,88.25,73.85,92.32,35.538,5.4638,0,0,Round 1,0,0.16540200746796027,16,14.049586776859504,66.66666666666666
2023,WR,Skill,SMU,AAC,73.0,204,9.5,32.75,77.375,4.51,41.0,17,128.0,6.94,4.29,1,1504,2.267,56.034,67.613,41.499,46.125,5.3181,0,0,Round 2,1,0.1648078376112556,17,14.46280991735537,70.83333333333334
2025,S,Secondary,Penn State,Big Ten,73.5,215,9.5,32.5,80.875,4.44,38.11,12,103.8,6.72,4.97,0,2063,20.037,81.11,80.469,75.103,36.924,5.1761,0,0,Round 3,0,0.16338894994740877,17,14.87603305785124,70.83333333333334
2023,IOL,OL,Florida,SEC,77.0,330,11.25,33.875,83.875,5.31,23.5,20,101.0,7.99,4.81,1,1581,7.555,60.994,69.396,49.078,49.533,5.2983,0,0,Round 2,1,0.1632564659775567,18,15.289256198347106,75.0
2025,OT,OL,NC State,ACC,78.0,336,10.25,33.75,83.125,5.26,29.5,11,107.0,7.77,4.03,1,1502,0.43,43.632,41.325,49.036,47.981,5.323,0,0,Round 2,1,0.1630809858057024,19,15.702479338842975,79.16666666666666
2023,EDGE,DL,USC,Pac-12,75.0,266,10.125,32.25,77.875,4.63,32.0,23,118.0,7.16,4.43,0,1745,13.164,77.414,90.693,44.38,43.862,5.323,0,1,Round 2,1,0.16210063086387938,20,16.115702479338843,83.33333333333334
2024,OT,OL,Houston,Big 12,79.5,331,9.375,36.25,86.25,5.13,29.0,28,108.0,7.65,4.58,1,1421,-2.113,42.491,51.077,36.881,53.212,5.3181,0,0,Round 2,1,0.16201347676994465,21,16.528925619834713,87.5
2024,IOL,OL,Texas A&M,SEC,75.5,302,10.5,34.625,81.5,5.13,26.5,27,111.0,7.67,4.58,1,1772,15.36,75.057,65.814,76.34,50.751,5.0499,0,0,Round 4,0,0.15967639832347758,21,16.94214876033058,87.5
2024,OT,OL,Pittsburgh,ACC,78.25,327,9.0,33.25,81.25,5.19,29.0,29,108.0,7.78,4.61,0,1404,-0.369,43.622,32.282,60.013,38.896,5.193,0,0,Round 3,0,0.1591363775968893,21,17.355371900826448,87.5
2023,DL,DL,Mississippi St.,SEC,75.0,304,10.0,34.5,82.0,5.1,29.5,24,109.0,7.6,4.79,1,1694,13.237,75.362,59.938,76.598,66.986,4.9127,0,0,Round 4,0,0.15615652921976175,21,17.768595041322314,87.5
2025,RB,Skill,North Carolina,ACC,71.75,221,9.375,30.5,74.75,4.46,38.0,18,130.0,6.75,4.4,1,1496,2.602,50.555,55.402,46.067,47.749,5.4681,0,0,Round 1,0,0.1524980678356537,21,18.181818181818183,87.5
2024,WR,Skill,Washington,Pac-12,73.375,203,9.75,31.75,74.5,4.52,37.5,16,129.0,6.86,4.13,1,1879,17.544,82.666,86.101,64.802,60.593,5.4027,0,0,Round 2,1,0.15056277732620413,22,18.59504132231405,91.66666666666666
2025,DL,DL,Alabama,SEC,76.375,302,10.375,33.0,81.625,4.28,24.5,33,138.0,6.65,4.6,0,1986,23.933,85.057,77.281,79.955,59.628,4.2341,1,0,Round 6,0,0.1500009317445207,22,19.00826446280992,91.66666666666666
2024,S,Secondary,Miami,ACC,71.25,203,9.75,31.25,75.0,4.65,35.0,13,110.0,6.98,4.83,1,1580,11.169,68.436,66.666,63.176,51.762,5.0752,0,1,Round 4,0,0.14906335773809437,22,19.421487603305785,91.66666666666666
2024,IOL,OL,Illinois,Big Ten,76.25,315,9.0,33.875,81.875,5.22,24.5,26,102.0,7.77,4.73,1,1504,0.543,45.217,52.138,44.335,38.615,5.2364,0,0,Round 3,0,0.1485050384636088,22,19.834710743801654,91.66666666666666
2025,IOL,OL,Georgia,SEC,78.5,308,10.375,32.25,79.25,4.97,32.0,11,113.0,7.38,4.03,1,1998,22.091,82.861,79.935,73.308,59.572,5.3083,1,0,Round 2,1,0.14828780710629239,23,20.24793388429752,95.83333333333334
2024,C,OL,Oregon,Pac-12,75.375,328,9.875,32.25,78.5,5.21,32.0,30,104.0,7.41,2.89,1,2106,25.043,90.094,93.321,73.578,35.343,5.3706,1,1,Round 2,1,0.147287498837826,24,20.66115702479339,100.0
2024,CB,Secondary,Texas,Big 12,74.875,208,9.375,34.5,81.75,4.53,40.5,15,125.0,6.82,4.13,1,2025,23.196,86.583,76.615,83.977,60.972,4.1589,1,0,Round 6,0,0.14716236522011106,24,21.074380165289256,100.0
2025,OT,OL,Texas,SEC,77.125,315,10.375,33.5,84.375,5.16,32.0,14,104.0,7.81,4.66,1,2042,26.107,88.25,73.85,92.32,35.538,5.5215,0,1,Round 1,0,0.14686377487653055,24,21.487603305785125,100.0
2025,TE,Skill,Bowling Green,MAC,75.25,241,9.25,32.25,79.25,4.71,34.0,22,118.0,6.97,4.39,1,1442,-3.156,48.952,45.874,55.957,41.324,5.2575,0,0,Round 3,0,0.14402385680841753,24,21.90082644628099,100.0
2025,DL,DL,Notre Dame,FBS Independent,77.375,291,9.75,32.5,79.75,4.46,28.47,33,93.0,8.19,4.03,0,2154,25.305,88.314,78.053,88.226,42.499,4.7622,0,0,Round 5,0,0.14312767921132866,24,22.31404958677686,100.0
2024,IOL,OL,Kansas St.,Big 12,75.25,322,9.25,31.5,78.125,5.03,27.5,31,109.0,7.44,4.61,1,1942,18.789,79.849,77.7,71.656,49.809,5.2257,0,0,Round 3,0,0.14304620721148684,24,22.727272727272727,100.0
2024,DL,DL,Duke,ACC,74.375,302,10.25,33.0,79.125,4.99,32.0,27,109.0,7.95,4.75,1,1654,8.778,68.7,63.774,63.667,60.347,5.0999,0,0,Round 3,0,0.14102964621785977,24,23.140495867768596,100.0
2024,QB,Skill,Tennessee,SEC,77.125,235,10.25,33.375,80.0,5.06,35.0,18,121.0,5.72,4.06,1,1877,14.091,72.034,66.494,68.45,54.522,4.1897,1,0,Round 6,0,0.14003331098512736,24,23.553719008264462,100.0
2025,CB,Secondary,Kansas State,Big 12,69.75,191,9.0,30.75,75.875,4.35,37.5,12,129.0,8.19,4.93,1,1754,11.098,70.634,61.856,71.635,49.804,5.1648,0,0,Round 3,0,0.1390547226991365,24,23.96694214876033,100.0
2025,EDGE,DL,LSU,SEC,77.375,280,10.0,33.5,82.375,5.45,33.0,19,119.0,6.65,4.97,1,1827,13.515,71.849,75.763,61.497,39.011,5.0626,0,0,Round 4,0,0.13864920815335652,24,24.380165289256198,100.0
2025,OT,OL,LSU,SEC,77.25,315,10.625,34.25,81.5,5.45,24.5,33,109.2,8.19,4.97,0,1827,13.515,71.849,75.763,61.497,39.011,5.124,0,0,Round 3,0,0.1382237372923773,24,24.793388429752067,100.0
2025,CB,Secondary,Ohio State,Big Ten,72.125,195,8.5,30.625,76.125,4.42,29.5,24,121.7,6.65,4.03,0,2211,24.823,87.333,80.443,83.601,49.523,4.4886,1,0,Round 6,0,0.13765223582751415,24,25.206611570247933,100.0
2024,EDGE,DL,Alabama,SEC,74.75,247,9.875,34.375,83.0,4.46,40.5,23,127.0,7.39,4.31,1,2032,24.925,84.968,76.211,80.844,61.941,5.4889,0,1,Round 1,0,0.13666437171008203,24,25.6198347107438,100.0
2025,EDGE,DL,Ohio State,Big Ten,76.25,260,9.625,31.625,77.125,4.28,24.5,33,138.0,8.19,4.03,0,2211,24.823,87.333,80.443,83.601,49.523,4.9127,1,0,Round 4,0,0.13542308058684918,24,26.033057851239672,100.0
2024,LB,LB,Notre Dame,FBS Independent,74.125,234,9.875,34.25,79.375,4.64,34.0,18,118.0,7.31,4.44,1,2077,20.776,83.947,78.304,77.941,57.082,5.1475,1,0,Round 3,0,0.13439684577187697,24,26.446280991735538,100.0
2024,S,Secondary,Oregon,Pac-12,71.25,200,10.125,30.125,72.875,4.6,40.5,17,126.0,6.99,4.88,1,2106,25.043,90.094,93.321,73.578,35.343,4.9972,1,0,Round 4,0,0.13431381753637073,24,26.859504132231404,100.0
2023,DL,DL,Georgia,SEC,75.0,314,10.25,33.5,81.0,5.13,29.0,25,106.0,7.65,4.82,0,2300,29.908,93.511,90.791,87.647,45.406,5.5215,0,1,Round 1,0,0.1336964561002051,24,27.27272727272727,100.0
2023,EDGE,DL,TCU,Big 12,76.0,257,9.5,33.125,78.5,4.63,34.0,18,120.0,6.97,4.44,1,1729,14.378,80.5,80.39,69.518,54.974,5.0106,0,0,Round 4,0,0.13362671933715167,24,27.685950413223143,100.0
2023,RB,Skill,Kansas St.,Big 12,65.0,179,9.5,27.75,67.0,4.36,35.5,20,116.0,7.69,5.1,1,1861,14.823,77.392,70.169,73.461,57.448,3.8501,0,1,Round 6,0,0.13324272985048707,24,28.09917355371901,100.0
2024,QB,Skill,Michigan,Big Ten,74.5,219,9.0,31.625,75.875,4.81,32.5,17,114.0,6.82,4.23,1,2210,27.625,94.395,88.226,91.352,54.858,5.5175,0,0,Round 1,0,0.13308765201636968,24,28.512396694214875,100.0
2023,IOL,OL,LSU,SEC,76.0,332,9.5,33.5,80.375,5.08,30.0,20,106.0,7.84,4.8,1,1871,17.436,78.295,78.649,74.431,26.438,5.0173,0,0,Round 4,0,0.13255512968945402,24,28.92561983471074,100.0
2025,LB,LB,Georgia,SEC,73.0,243,10.25,32.0,79.875,4.75,24.5,11,115.3,6.88,4.03,0,1998,22.091,82.861,79.935,73.308,59.572,5.4972,1,1,Round 1,0,0.1307351944428435,24,29.338842975206614,100.0
2024,OT,OL,Yale,Ivy League,77.375,323,9.625,36.125,85.5,5.17,29.5,29,109.0,7.93,4.64,0,1725,10.499,65.564,63.746,61.56,50.241,5.2149,0,0,Round 3,0,0.13036572171959873,24,29.75206611570248,100.0
2023,EDGE,DL,Missouri,SEC,76.0,268,8.625,33.875,82.0,4.76,36.5,25,122.0,7.39,4.52,1,1470,2.559,59.03,42.751,69.711,55.263,4.8903,0,0,Round 4,0,0.1299124455834445,24,30.165289256198346,100.0
2023,LB,LB,Texas,Big 12,74.625,229,9.5,32.25,78.125,4.56,34.0,15,124.0,6.62,4.33,1,1900,19.379,79.1,73.758,70.57,66.449,5.1299,1,0,Round 3,0,0.12990177099334177,24,30.57851239669421,100.0
2024,TE,Skill,Ohio St.,Big Ten,75.875,247,9.75,32.75,77.25,4.65,34.5,28,117.0,7.07,4.45,1,2065,27.485,89.569,83.397,86.658,44.2,4.9127,1,0,Round 4,0,0.12954777381246768,24,30.991735537190085,100.0
2025,CB,Secondary,Tulane,AAC,71.375,197,9.625,30.625,75.625,4.33,39.77,16,129.0,6.65,4.91,1,1674,10.537,71.379,66.845,65.053,60.698,5.1417,1,0,Round 3,0,0.12943130130016986,24,31.40495867768595,100.0
2024,QB,Skill,Washington,Pac-12,74.25,216,10.5,33.625,81.0,4.79,32.5,17,112.0,7.04,4.26,0,1879,17.544,82.666,86.101,64.802,60.593,5.5255,0,1,Round 1,0,0.12904289065340568,24,31.818181818181817,100.0
2025,DL,DL,Florida,SEC,78.25,328,9.5,34.125,81.875,5.17,24.5,11,93.0,6.65,4.03,1,1767,11.901,71.717,58.466,70.419,67.15,4.7791,0,0,Round 5,0,0.1278792038759676,24,32.231404958677686,100.0
2024,TE,Skill,Michigan,Big Ten,78.0,251,9.0,33.375,81.875,4.65,35.0,28,119.0,7.07,4.32,0,2210,27.625,94.395,88.226,91.352,54.858,4.9273,0,0,Round 4,0,0.1274786143756485,24,32.64462809917356,100.0
2025,WR,Skill,Illinois,Big Ten,74.25,204,9.5,31.125,78.0,4.61,37.5,17,124.0,6.65,4.03,1,1618,5.208,63.81,64.672,52.931,65.881,5.2204,0,0,Round 3,0,0.12718108799091857,24,33.057851239669425,100.0
2023,EDGE,DL,Nebraska,Big Ten,76.75,250,10.75,35.25,83.375,4.74,33.5,21,118.0,7.18,4.38,1,1532,-0.651,40.694,43.713,40.707,51.926,4.2485,0,0,Round 6,0,0.12661185230779212,24,33.47107438016529,100.0
2025,OT,OL,Connecticut,FBS Independent,79.5,304,9.5,32.5,77.75,4.28,32.99,20,138.0,6.65,4.97,1,1432,-3.325,47.273,35.591,58.188,54.648,3.9703,0,0,Round 6,0,0.1263502074760064,24,33.88429752066116,100.0
2023,DL,DL,LSU,SEC,75.0,305,10.125,32.75,78.125,5.01,31.0,30,112.0,8.01,5.0,1,1871,17.436,78.295,78.649,74.431,26.438,4.7707,0,0,Round 5,0,0.12595423234490516,24,34.29752066115703,100.0
2025,RB,Skill,Iowa,Big Ten,73.0,224,9.5,33.0,78.5,4.57,37.78,33,109.6,6.97,4.03,1,1774,11.144,70.238,48.063,74.759,71.573,5.1705,0,0,Round 3,0,0.12538052899874924,24,34.710743801652896,100.0
2024,CB,Secondary,Penn St.,Big Ten,69.375,179,8.125,30.0,70.875,4.38,42.5,15,126.0,6.95,4.19,1,2000,25.618,85.731,66.931,89.424,64.921,3.6889,1,0,Round 6,0,0.1245171043338038,24,35.12396694214876,100.0
2023,LB,LB,Clemson,ACC,74.375,235,10.25,32.375,77.5,4.43,35.0,25,123.0,7.28,4.36,1,1843,17.553,74.958,64.744,77.07,48.641,5.1533,0,0,Round 3,0,0.12447841645206356,24,35.53719008264463,100.0
2025,EDGE,DL,Alabama,SEC,76.25,243,9.5,33.5,80.125,5.05,43.0,23,138.0,8.19,4.97,0,1986,23.933,85.057,77.281,79.955,59.628,4.8283,1,0,Round 5,0,0.12422294196137425,24,35.9504132231405,100.0
2024,TE,Skill,Arizona,Pac-12,77.125,244,9.375,31.625,77.25,4.61,35.0,28,117.0,7.06,4.35,1,1822,11.44,73.172,77.614,56.651,58.122,4.1744,0,0,Round 6,0,0.12310969931091331,24,36.36363636363637,100.0
2025,DL,DL,Indiana,Big Ten,73.125,316,9.625,31.5,79.125,4.95,33.0,28,138.0,6.65,4.03,1,1951,18.73,83.71,85.132,72.021,40.91,4.9836,1,0,Round 4,0,0.12296219319236124,24,36.77685950413223,100.0
2025,EDGE,DL,Ole Miss,SEC,77.875,274,9.125,33.5,82.75,5.45,24.5,30,138.0,8.19,4.97,0,2007,20.608,84.235,76.596,81.866,47.73,0.0,1,0,Undrafted,0,0.12246441546926955,24,37.1900826446281,100.0
2024,EDGE,DL,Oregon,Pac-12,75.0,283,9.375,33.25,80.875,4.85,30.5,21,111.0,7.43,4.85,1,2106,25.043,90.094,93.321,73.578,35.343,5.0106,1,0,Round 4,0,0.12203340972197398,24,37.60330578512397,100.0
2025,OT,OL,Purdue,Big Ten,76.125,303,10.5,32.0,80.0,4.28,34.4,11,93.0,8.19,4.67,1,1061,-13.836,20.419,29.645,21.338,52.981,4.654,0,0,Round 5,0,0.12183504914670622,24,38.01652892561984,100.0
2023,QB,Skill,Tennessee,SEC,75.0,217,10.5,33.0,79.25,4.58,35.0,20,120.0,7.07,4.36,0,2000,22.728,84.959,90.062,58.984,68.61,5.2523,0,1,Round 3,0,0.11976602106939219,24,38.429752066115704,100.0
2024,C,OL,North Carolina St.,ACC,75.375,299,9.375,31.75,75.125,5.1,33.0,29,115.0,7.26,4.33,1,1660,6.943,65.952,47.142,75.741,57.991,4.2341,0,0,Round 6,0,0.11670688223759566,24,38.84297520661157,100.0
2023,CB,Secondary,South Alabama,Sun Belt,71.75,189,10.375,32.375,77.875,4.46,40.5,10,123.0,6.9,4.43,1,1485,-1.447,55.355,49.72,57.13,56.501,4.6444,0,0,Round 5,0,0.11509106566059209,24,39.25619834710744,100.0
2023,WR,Skill,Princeton,Ivy League,75.125,205,8.75,32.0,76.75,4.43,39.0,19,128.0,6.85,4.12,1,1689,10.576,67.566,66.994,61.909,53.743,3.9703,0,0,Round 6,0,0.11448020334702418,24,39.66942148760331,100.0
2025,LB,LB,Oklahoma,SEC,75.25,233,9.0,32.125,77.5,4.52,34.0,33,117.5,7.12,4.03,1,1725,10.943,65.083,38.944,80.167,57.918,4.9904,1,0,Round 4,0,0.11437991187829559,24,40.082644628099175,100.0
2023,RB,Skill,Texas,Big 12,72.25,219,9.625,32.0,76.875,4.58,31.5,20,122.0,7.01,4.48,1,1900,19.379,79.1,73.758,70.57,66.449,4.9698,1,0,Round 4,0,0.11362194761504969,24,40.49586776859504,100.0
2023,OT,OL,Georgia,SEC,77.375,311,10.625,34.75,82.75,4.97,30.0,20,108.0,7.6,4.69,1,2300,29.908,93.511,90.791,87.647,45.406,5.5013,0,0,Round 1,0,0.11262654562654371,24,40.909090909090914,100.0
2025,QB,Skill,Indiana,Big Ten,76.25,220,9.375,30.25,75.125,4.28,24.5,22,113.5,6.65,4.03,0,1951,18.73,83.71,85.132,72.021,40.91,3.4657,1,0,Round 7,0,0.11246828584986691,24,41.32231404958678,100.0
2023,CB,Secondary,Utah,Pac-12,69.0,184,9.125,29.125,70.375,4.51,33.0,18,133.0,6.51,4.32,1,1915,19.146,79.905,74.866,74.068,53.378,4.9836,0,0,Round 4,0,0.1124434092310978,24,41.735537190082646,100.0
2025,TE,Skill,Pittsburgh,ACC,76.625,246,9.75,31.375,78.375,4.7,24.5,33,115.5,8.19,4.97,1,1456,3.991,55.816,49.345,57.768,56.475,4.0431,0,0,Round 6,0,0.11132113408420749,24,42.14876033057851,100.0
2025,RB,Skill,Kansas State,Big 12,72.25,212,9.25,30.375,75.25,4.43,39.5,33,130.0,7.84,4.33,1,1754,11.098,70.634,61.856,71.635,49.804,4.6821,0,0,Round 5,0,0.11056849608843357,24,42.561983471074385,100.0
2024,TE,Skill,TCU,Big 12,78.125,249,9.5,33.25,79.25,4.62,37.0,28,118.0,7.19,4.33,1,1631,9.511,59.244,64.411,51.426,45.245,4.852,0,0,Round 5,0,0.10932324460760194,24,42.97520661157025,100.0
2023,CB,Secondary,Syracuse,ACC,70.0,192,9.25,31.0,74.5,4.46,36.5,13,127.0,6.76,4.29,0,1464,5.084,59.708,56.419,61.005,44.497,5.2311,0,0,Round 3,0,0.10799838217880456,24,43.388429752066116,100.0
2025,RB,Skill,Arizona State,Big 12,69.5,219,9.375,29.75,73.875,4.65,39.5,17,123.0,7.37,4.97,1,1801,11.793,78.233,79.692,66.688,47.348,5.037,0,0,Round 4,0,0.10796700650165486,24,43.80165289256198,100.0
2025,S,Secondary,Virginia,ACC,72.375,206,9.625,32.25,77.625,4.48,36.5,12,128.0,7.46,4.97,1,1356,-1.289,47.839,40.745,53.887,55.993,5.112,0,0,Round 3,0,0.10728147429619488,24,44.214876033057855,100.0
